,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
514,The White Stripes,Hotel Yorba,66Xoy2shVLpqTMvcziDCUy,0,0.385,0.791,7,-2.647,1,0.0949,0.454,0.0,0.0755,0.764,194.642,130333,4
515,The White Stripes,Dead Leaves And The Dirty Ground,11NpHoPIRGEQxp0lWB46Ys,0,0.364,0.614,11,-4.216,0,0.0328,0.471,2.82e-06,0.0735,0.476,80.844,183933,4
516,The White Stripes,Blue Orchid,2b0AarwIy6Dr0oJeAhc80s,0,0.482,0.644,10,-8.535,0,0.319,0.0863,7.57e-06,0.31,0.611,151.329,157560,4
517,Them Crooked Vultures,No One Loves Me & Neither Do I,0Ws3haBpuaBIaRnWKrkNCg,0,0.232,0.895,9,-5.449,0,0.101,0.0309,2.86e-06,0.129,0.603,175.744,310387,4
518,The White Stripes,Rag and Bone,6SCkfhvPQUxEJM2I30M6yr,0,0.591,0.755,4,-7.277,0,0.103,0.00933,0.00067,0.0855,0.471,95.387,226560,4
519,Michael Bublé,Everything,4T6HLdP6OcAtqC6tGnQelG,68,0.686,0.688,6,-4.981,0,0.0254,0.39,1.03e-06,0.0924,0.493,123.125,212373,4
520,Etta James,At Last,4Hhv2vrOTy89HFRcjU3QOx,72,0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,179693,3
521,Violent Femmes,Blister In The Sun,2ugghimAssmeO3YpFIV7mb,3,0.726,0.537,0,-8.896,1,0.113,0.316,0.0,0.0707,0.887,96.91,145707,4
522,Dinosaur Jr.,Start Choppin',7yThIhNzpgDBIGoL2y1y6u,50,0.373,0.755,2,-7.574,1,0.103,0.00411,0.000799,0.0635,0.57,111.813,340187,4
523,Sonic Youth,Kool Thing,1ZozGivTAYsOwhy6LVHsPX,58,0.262,0.82,7,-11.621,1,0.0428,0.0103,0.0914,0.101,0.254,155.197,246333,4
524,Dinosaur Jr.,Feel the Pain,28c4nfBHdb3xviamRCEsIe,58,0.34,0.804,0,-8.355,1,0.0516,0.00331,0.0191,0.0727,0.854,131.5,259600,4
525,Al Green,Let's Stay Together,63xdwScd1Ai1GigAwQxE8y,71,0.756,0.401,7,-10.702,0,0.0526,0.582,0.011,0.0541,0.514,101.954,199396,4
526,Pixies,Wave of Mutilation (UK Surf),2KSSbWLAWSzaso01DEP32W,0,0.642,0.355,5,-14.196,1,0.0328,0.094,3.42e-05,0.0865,0.724,180.258,180133,4
527,Pixies,Gouge Away,1YZDkJOFT8xlAXDi8lneb3,0,0.661,0.407,4,-14.111,1,0.0334,0.00164,0.0241,0.0987,0.497,125.644,165067,4
528,Pixies,Gigantic,3oqJ3POeLfa2TJh6BFLhPM,0,0.385,0.707,7,-11.825,1,0.0401,0.00225,0.418,0.0763,0.786,115.174,237707,4
529,Pixies,Cactus,2nqMzaaRiinfR2B4egiHgI,0,0.88,0.408,4,-14.498,0,0.0587,0.389,0.0704,0.0971,0.855,116.233,138613,4
530,The Velvet Underground,Sweet Jane - Full Length Version; 2015 Remaster,3cw3Z7mS55gd3NUjh4k0bL,57,0.619,0.637,2,-7.369,1,0.0286,0.015,0.0,0.374,0.936,105.205,246307,4
531,The Velvet Underground,I'm Waiting For The Man,3fElupNRLRJ0tbUDahPrAb,54,0.679,0.645,7,-9.765,1,0.0442,0.032,0.868,0.152,0.826,125.844,279520,4
532,The Velvet Underground,Heroin,5by3w3NXvwDpV9FBSOR35u,54,0.201,0.777,1,-10.167,1,0.0705,0.304,0.78,0.0981,0.235,145.733,433573,4
533,Elvis Presley,Heartbreak Hotel,6xNwKNYZcvgV3XTIwsgNio,54,0.696,0.21,4,-11.922,1,0.067,0.84,1.62e-06,0.107,0.717,93.543,127560,4
534,Nirvana,Sappy,7tUtvGeKB2V5W5ms6uBlyC,59,0.406,0.81,1,-6.127,1,0.0343,1.04e-05,1.34e-06,0.325,0.638,128.282,205493,4
535,Kurt Cobain,And I Love Her,7x4b0UccXSKBWxWmjcrG2T,63,0.616,0.282,1,-15.317,1,0.0331,0.983,0.833,0.13,0.435,96.638,124933,4
536,Ozzy Osbourne,Crazy Train - 2002 Version,2yEcS5L2x98hPVjRn5TVnN,0,0.48,0.923,9,-3.587,1,0.0571,0.0179,0.000802,0.288,0.592,137.61,290027,4
537,Pixies,Wave of Mutilation,1yJiE307EBIzOB9kqH1deb,0,0.59,0.77,10,-12.147,1,0.0346,0.000272,0.411,0.0811,0.737,132.613,124773,4
538,The Velvet Underground,Rock and Roll - Full Length Version; 2015 Remaster,1o6DclZHw0HomxXEQR1ijX,55,0.494,0.735,5,-8.347,1,0.0345,0.00401,3.14e-06,0.544,0.742,132.526,283000,4
539,Al Green,Dream,6ey8HhYmR57lhESTf15RcF,42,0.366,0.284,7,-16.223,1,0.03,0.339,0.167,0.0771,0.148,172.266,448800,3
540,The Brian Jonestown Massacre,Anemone,70WSr32oW4jC1na5I0j0D6,58,0.527,0.636,5,-12.888,0,0.0347,0.0599,0.843,0.204,0.607,83.101,334467,4
541,Sonic Youth,Schizophrenia,22t3vCXfjQhIiXzGVSZNOz,50,0.356,0.696,2,-11.461,1,0.0366,0.19,0.867,0.104,0.562,134.66,278400,4
542,The White Stripes,We're Going To Be Friends,1N883b1C3trjGcx2h4E99B,0,0.533,0.459,7,-5.499,1,0.0277,0.687,0.0,0.0773,0.386,97.213,142227,4
543,Sonic Youth,Teen Age Riot (Album Version),0WIbzDVEpmOyBnqqdtqIL9,58,0.286,0.907,7,-9.67,1,0.0374,0.000277,0.202,0.0837,0.746,156.395,417800,4
544,Caleb Belkin,I Fall in Love Too Easliy,4BGfM7Faj0dyEnSuaOw67j,52,0.662,0.349,5,-14.022,0,0.214,0.637,0.00213,0.124,0.234,141.951,139691,4
545,Elijah Who,i'm tired of feeling this way,0A6dTlWYD2magT5bqUyZLM,57,0.798,0.117,0,-16.003,1,0.0723,0.992,0.821,0.114,0.192,137.83,148034,4
546,Elijah Who,crush on you,1vlzSY7AttAiAvSEe1JbVs,55,0.578,0.172,1,-13.684,1,0.35,0.883,3.32e-06,0.401,0.424,138.717,84024,4
547,Elijah Who,my new love,23gcQr3NRKzLXsP9H5jFQ1,62,0.614,0.277,1,-11.943,0,0.042,0.967,0.891,0.0698,0.236,84.938,65790,4
548,Elijah Who,this girl,19JzJOMs4wkuKxY8WEOMea,61,0.79,0.133,8,-9.365,1,0.0915,0.875,0.808,0.111,0.422,69.997,122704,4
549,eery,Her,4kVmLlBnLcfXIZIIhq3VUq,0,0.667,0.392,11,-11.555,0,0.11,0.791,0.0624,0.139,0.524,82.071,123208,4
550,Pixies,Hey,2Aqc48sn8He26hmTvQ2BMj,0,0.59,0.317,7,-15.014,1,0.0307,0.000877,0.000867,0.0745,0.33,99.81,211440,4
551,Local Natives,Coins,53I7CviVHhNYEKth717RLG,55,0.566,0.576,5,-4.859,1,0.0365,0.0578,0.0,0.0523,0.607,138.045,237693,4
552,Local Natives,Dark Days,7LZN7FkxHZk6maiN6NdI2i,60,0.604,0.655,9,-7.088,1,0.0273,0.109,0.0019,0.125,0.59,115.038,180413,4
553,Ra Ra Riot,Water (feat. Rostam),4WuDLbPWqwjyRvJK2jRCPS,53,0.575,0.848,4,-4.297,1,0.0885,0.131,0.0,0.11,0.42,159.941,280333,4
554,Irma Thomas,Anyone Who Knows What Love Is (Will Understand),6L2woktiAuW35BrcROmhW5,48,0.389,0.29,2,-11.868,1,0.0393,0.406,3.97e-05,0.0758,0.158,185.007,181293,3
555,Armandinho,Desenho De Deus,4G17iavwP0xVguOKlwzL0f,51,0.681,0.582,9,-7.876,1,0.027,0.514,0.000213,0.114,0.742,136.119,232107,4
556,Armandinho,Ursinho De Dormir,6L5gqGGRXLg7oXJhyynzkG,46,0.726,0.483,2,-8.674,1,0.0311,0.342,0.0,0.174,0.626,132.089,243213,4
557,Armandinho,Folha De Bananeira,2hQykQxAGtmbMBvAN7T4Z0,41,0.834,0.562,5,-9.667,1,0.0373,0.0982,0.0,0.29,0.953,129.086,216320,4
558,Armandinho,Tarde De Sol,7HXGNFKmzZ3E8ZjpOr8MdQ,40,0.592,0.649,7,-7.677,1,0.0531,0.177,2.2e-05,0.0993,0.725,83.546,193453,4
559,Seu Jorge,Amiga Da Minha Mulher,1R7MonDYxJkdQQqujXZDH4,0,0.781,0.928,9,-5.128,0,0.14,0.72,0.0,0.0872,0.782,103.974,248080,4
560,Steve Vai,Tender Surrender,1BpMzIbVYhLfXTQe7ob2sY,49,0.559,0.567,4,-7.155,0,0.036,0.174,0.103,0.122,0.227,130.036,301067,4
561,Steve Vai,For the Love of God,5m5I3KcV83zf2p2qbsnr3y,51,0.152,0.842,9,-5.783,0,0.0418,0.00347,0.912,0.115,0.283,95.49,363333,4
562,Grateful Dead,Friend of the Devil,5ZLzl6T8JwqMTMdoE0nCbU,60,0.642,0.628,7,-12.849,1,0.0358,0.334,8.29e-06,0.614,0.893,103.317,201867,4
563,Grateful Dead,Casey Jones - 2013 Remaster,7LbfuQVct78YoghmoPtsQ8,59,0.671,0.405,0,-10.052,1,0.0392,0.385,0.0,0.132,0.828,99.678,265067,4
564,Armandinho,Semente,5kLDQ7urRnWPu9tb70DYsm,0,0.404,0.934,9,-6.984,1,0.242,0.13,3.72e-06,0.951,0.466,89.914,359547,4
565,The Zombies,Time of the Season - Mono Version,5AJrhrwz4oSZX2PwwV4qrN,64,0.537,0.7,4,-6.852,0,0.0366,0.142,1.58e-06,0.383,0.695,117.111,214027,4
566,The Kinks,Lola,0UAJH0k4k3slcE83a9UGCe,68,0.474,0.917,9,-4.19,1,0.0395,0.582,0.231,0.201,0.902,152.113,241040,4
567,The Kinks,All Day and All of the Night,78JmElAFmrPNhLjovDR9Jm,65,0.551,0.86,7,-7.839,1,0.0796,0.262,4.57e-06,0.0558,0.723,136.921,141507,4
568,The Kinks,You Really Got Me - Mono Mix,29SyMC0plk6qw8NMF7lfRL,69,0.573,0.939,8,-6.441,1,0.0808,0.493,0.0,0.0994,0.963,137.382,134253,4
569,Van Halen,Eruption,24GaspdcJWLts2R1wurDfW,0,0.193,0.68,8,-8.471,1,0.053,0.425,0.48,0.109,0.521,81.346,102133,4
570,Van Halen,Panama - 2015 Remaster,05RgAMGypEvqhNs5hPCbMS,70,0.526,0.978,8,-5.436,1,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,210227,4
571,Def Leppard,Pour Some Sugar On Me - Remastered 2017,0PdM2a6oIjqepoEfcJo0RO,72,0.267,0.953,1,-4.899,0,0.096,0.00211,0.0,0.283,0.568,84.989,267307,4
572,Twisted Sister,We're Not Gonna Take It,1hlveB9M6ijHZRbzZ2teyh,71,0.502,0.924,4,-6.299,1,0.0503,0.0127,0.0,0.162,0.922,149.186,219667,4
573,AC/DC,Hells Bells,69QHm3pustz01CJRwdo20z,71,0.389,0.873,4,-4.768,0,0.0475,0.00532,0.0055,0.273,0.303,106.767,312293,4
574,AC/DC,T.N.T.,7LRMbd3LEoV5wZJvXT1Lwb,75,0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366,214667,4
575,AC/DC,You Shook Me All Night Long,2SiXAy7TuUkycRVbbWDEpo,78,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173,4
576,AC/DC,Back In Black,08mG3Y1vljYA6bvDt4Wqkj,81,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,4
577,AC/DC,Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,81,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,208400,4
578,KISS,Rock And Roll All Nite,6KTv0Z8BmVqM7DPxbGzpVC,74,0.654,0.929,1,-5.906,1,0.0998,0.0468,0.0,0.0539,0.902,144.774,168840,4
579,Guns N' Roses,Knockin' On Heaven's Door,4JiEyzf0Md7KEFFGWDDdCr,76,0.496,0.739,6,-7.193,1,0.0415,0.0211,0.00444,0.106,0.378,132.41,336000,4
580,Guns N' Roses,Paradise City,6eN1f9KNmiWEhpE2RhQqB5,71,0.268,0.98,11,-5.958,1,0.103,0.0192,0.00709,0.182,0.395,100.315,405600,4
581,Guns N' Roses,Welcome To The Jungle,0G21yYKMZoHa30cYVi1iA8,71,0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544,273480,4
582,Guns N' Roses,November Rain,3YRCqOhFifThpSRFJ1VWFM,77,0.294,0.641,11,-9.316,1,0.0291,0.0163,0.22,0.112,0.226,79.759,536067,4
583,Guns N' Roses,Sweet Child O' Mine,7snQQk1zcKl8gZ92AnueZW,73,0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303,356067,4
584,Aerosmith,Walk This Way,5SZ6zX4rOrEQferfFC2MfP,72,0.653,0.73,5,-10.613,1,0.043,0.0114,1.03e-05,0.0754,0.894,108.705,220400,4
585,Aerosmith,Crazy,74irxdVWstNlEQjsvArITq,72,0.37,0.866,6,-3.879,0,0.0384,0.0868,0.0,0.137,0.427,162.086,316693,3
586,Aerosmith,Sweet Emotion,24NwBd5vZ2CK8VOQVnqdxr,71,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,274133,4
587,Aerosmith,"I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon""",0c1gHntWjKD7QShC8s99sq,0,0.39,0.649,2,-5.163,1,0.0345,0.172,0.0,0.216,0.144,121.16,299760,4
588,Aerosmith,Dream On,5MxNLUsfh7uzROypsoO5qe,77,0.307,0.433,1,-10.057,1,0.029,0.388,9.08e-05,0.332,0.224,160.9,266960,4
589,Sublime,Rivers Of Babylon,59FK9uQYzunUJOLky9K4yK,46,0.704,0.437,8,-9.976,1,0.0459,0.663,0.0,0.873,0.709,113.506,149613,4
590,Sublime,Waiting For My Ruca,3Cx9j78Z0NE6jYwBWvvV3P,54,0.925,0.229,4,-9.68,1,0.445,0.579,0.00578,0.116,0.168,104.273,140227,4
591,Sublime,Scarlet Begonias,1NpLCZNSYEegtDYCRA5PNN,56,0.86,0.807,4,-7.945,0,0.117,0.156,0.0217,0.104,0.551,97.363,211387,4
592,Sublime,Let's Go Get Stoned,2qN7J3rwekpYjskmtOT6Ex,48,0.604,0.518,9,-7.409,0,0.0471,0.0337,0.0112,0.133,0.568,94.049,212360,4
593,Sublime,Smoke Two Joints,0Jur3mZsQba3vqSpcmsOPm,61,0.761,0.687,7,-6.185,1,0.131,0.00469,0.00532,0.245,0.316,95.089,173427,4
594,Sublime,Garden Grove,1D7uhJA0ntyYoxwxf2aI1Q,31,0.542,0.587,4,-6.735,0,0.0412,0.000698,0.00508,0.0284,0.597,81.565,261027,4
595,Sublime,Caress Me Down,45ysPwEf7vH5yoHCzKtTf3,31,0.748,0.472,9,-7.238,1,0.241,0.0329,0.0,0.129,0.59,79.554,211733,4
596,Sublime,Wrong Way,0kFpb2zqfMCwD1upw0kHw3,32,0.625,0.678,2,-6.208,1,0.04,0.0704,0.0,0.0872,0.958,73.76,136293,4
597,Sublime,Doin' Time,4E9JPsbXYX2ui8GDHhwwkM,34,0.717,0.689,7,-6.783,1,0.0649,0.0194,3.41e-06,0.133,0.511,80.933,252373,4
598,Grateful Dead,Scarlet Begonias - 2013 Remaster,3euDGpS2R0NC2Xssqxohva,55,0.537,0.559,4,-12.224,1,0.0315,0.314,0.000795,0.116,0.918,167.758,259702,4
599,The Beatles,Paperback Writer - Remastered 2015,0Ui8KPWZbJJQ2Y0CIQuVqX,58,0.472,0.856,7,-6.03,1,0.0562,0.147,2.78e-06,0.595,0.841,78.696,138200,4
600,Gabriel O Pensador,Tô Feliz (Matei o Presidente) 2,1eJCpFxPd8vKfQgNSvVtLP,40,0.931,0.63,0,-9.477,1,0.275,0.426,0.000856,0.0879,0.289,103.98,240840,4
601,Gabriel O Pensador,Solitário Surfista / Surfista Solitário,2iNXdaNx4cArMmjCg6i3A4,49,0.717,0.922,7,-2.3,1,0.103,0.141,0.0,0.0525,0.722,104.958,228146,4
602,Gabriel O Pensador,Cachimbo da Paz (feat. Lulu Santos),7E1duSMvHGUcYRgwrMZOUf,56,0.773,0.522,7,-10.747,1,0.0922,0.0887,0.124,0.0616,0.427,98.395,333107,4
603,Gabriel O Pensador,2345MEIA78,1AqfIfEQyEaME7fiv3HzyU,49,0.959,0.603,1,-10.365,1,0.218,0.173,0.0,0.261,0.848,115.912,289827,4
604,José Cid,A festa do Zé,0Zv0duAB4ODOeFqMoxjjKe,0,0.562,0.64,7,-8.141,1,0.035,0.365,1.34e-06,0.937,0.946,129.81,125199,4
605,José Cid,Dom Fulano,2M2iMCQSuE53UnjONv2b8W,0,0.472,0.37,7,-12.054,1,0.0354,0.152,0.000199,0.225,0.574,75.874,189004,4
606,José Cid,Rock rural,35GLC94CE5RmYXmGGIwgvO,0,0.649,0.66,10,-8.054,1,0.0325,0.408,0.000158,0.172,0.728,125.171,177261,4
607,José Cid,Amigos,5MUYRMMyerVGI8MRwBj6cj,0,0.524,0.475,9,-15.178,1,0.0283,0.591,0.636,0.111,0.703,144.774,195127,4
608,José Cid,"Ontem, hoje e amanhã",2hTd6X0cSLELWARH7CVaVL,0,0.626,0.613,0,-6.439,1,0.0339,0.268,0.0,0.327,0.711,89.762,174587,4
609,José Cid,Menino Prodígio,6HguzII9GMUWNRKdnpGips,10,0.538,0.946,9,-1.563,1,0.0428,0.604,0.0,0.129,0.581,139.875,238293,4
610,José Afonso,Grândola vila morena,4YTZhbzc5dV87hhup8HVuo,0,0.636,0.183,3,-19.494,1,0.101,0.894,0.0,0.0515,0.519,98.683,203373,4
611,António Variações,... O corpo é que paga,3HCGcoRckdlsbvpVCqXHt5,0,0.742,0.709,0,-5.661,1,0.0413,0.0445,0.0,0.275,0.722,138.047,192493,4
612,Humanos,Quero é viver,3qieYtq2M6PXHYPovh9iBl,34,0.582,0.854,9,-6.436,1,0.0341,0.149,0.0187,0.156,0.786,126.321,243733,4
613,Humanos,Muda de vida,2PFP5V7ztRS0et3xWHK8pl,31,0.681,0.708,10,-5.471,1,0.0276,0.594,6e-05,0.0998,0.795,118.237,183933,4
614,Humanos,Maria Albertina,59rMf3o5hYfuAdX5IqSgDu,36,0.687,0.87,11,-5.266,1,0.0398,0.282,1.13e-05,0.0638,0.981,154.32,188773,4
615,Rui Veloso,Não há estrelas no céu - 2015 Remaster,0jv574KsK07CURj5YYZtDN,7,0.702,0.59,0,-6.679,1,0.0264,0.504,0.0,0.0541,0.835,108.688,205733,4
616,António Variações,Canção de engate,0GxEFItaGkmC5IHmgmzS2b,34,0.584,0.749,0,-6.308,1,0.0366,0.288,0.000146,0.314,0.554,93.554,253413,4
617,Rui Veloso,Chico Fininho,7CNMoFiew4umSfEgguS2Se,0,0.559,0.745,0,-7.736,1,0.0392,0.0597,0.227,0.0713,0.87,90.4,151938,3
618,Jorge Palma,Encosta-te a mim,7dwaLGctHzppPAs6qfYZGP,38,0.561,0.46,7,-7.365,1,0.031,0.435,0.00153,0.0842,0.297,144.028,262827,4
619,D.A.M.A,As Vezes,44D9yRDmw7NHcLE6jMb0x3,38,0.762,0.79,5,-7.472,1,0.0731,0.355,0.0,0.0844,0.762,89.977,223013,4
620,Justice,D.A.N.C.E,33yAEqzKXexYM3WlOYtTfQ,63,0.613,0.962,6,-5.07,0,0.278,0.034,0.0,0.824,0.496,113.015,242267,4
621,Os Azeitonas,Anda comigo ver os aviões - Ao vivo,3LhndxA4ybl8eWOguNihZ3,34,0.294,0.351,9,-10.894,1,0.0461,0.818,0.000193,0.76,0.206,74.122,416853,4
622,Salvador Sobral,Amar Pelos Dois,3UjSOJ00E1eLMcayBm827Q,52,0.215,0.0952,5,-17.769,1,0.0358,0.853,0.00426,0.261,0.16,172.692,185080,3
623,Smash Mouth,I'm A Believer - Radio Edit,1RC5Mb0VhnlhnMlFDnrvE0,59,0.559,0.972,6,-3.524,1,0.0639,0.0198,6.47e-06,0.393,0.919,82.336,183400,4
624,Smash Mouth,All Star,3cfOd4CMv2snFaKAnMdnvK,77,0.731,0.867,11,-5.881,1,0.032,0.0395,0.0,0.0861,0.776,104.019,200373,4
625,Creedence Clearwater Revival,Proud Mary,2EZc13S7YRi6bTS3SKteRN,54,0.72,0.391,2,-16.595,1,0.0342,0.163,8.29e-05,0.046,0.786,120.794,187227,4
626,Lenny Kravitz,Stillness Of Heart,7eYVOdiqYA0wcPhhOC1g92,55,0.541,0.505,7,-7.226,0,0.0237,7.31e-05,0.00362,0.266,0.398,77.119,255693,4
627,Lenny Kravitz,Fly Away,1OxcIUqVmVYxT6427tbhDW,70,0.587,0.872,7,-5.066,1,0.0484,0.018,0.0,0.622,0.735,159.925,221333,4
628,Lenny Kravitz,Are You Gonna Go My Way,45Ia1U4KtIjAPPU7Wv1Sea,71,0.619,0.67,11,-10.322,0,0.0353,0.00165,0.0109,0.331,0.777,129.269,211933,4
629,Stray Cats,Rock This Town,2SknHmwY6GiOv6aK7YRahd,48,0.254,0.853,2,-10.218,1,0.0517,0.104,0.0,0.242,0.711,201.952,207000,4
630,Stray Cats,Stray Cat Strut,5yogRsv5ggT6iCnFgvdpho,49,0.679,0.609,0,-9.482,0,0.0347,0.0957,0.00113,0.0474,0.695,132.467,198000,4
631,Neil Diamond,Brother Love's Travelling Salvation Show,39S2xu12I1IwMVqSvoORSh,51,0.428,0.432,8,-11.58,1,0.0288,0.575,0.00933,0.0888,0.808,135.142,211862,4
632,Frank Sinatra,My Way,3spdoTYpuCpmq19tuD0bOe,69,0.401,0.381,2,-7.458,1,0.0274,0.7,0.0,0.122,0.229,75.454,276800,4
633,Frank Sinatra,Fly Me To The Moon (In Other Words),5b7OgznPJJr1vHNYGyvxau,69,0.668,0.26,7,-14.256,1,0.0523,0.453,0.0,0.0621,0.368,119.416,147000,4
634,Neil Diamond,Sweet Caroline,62AuGbAkt8Ox2IrFFb8GKV,76,0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05,203573,4
635,King Gizzard & The Lizard Wizard,Robot Stop,4bbZcD92nLvQnbrblZTS1K,45,0.465,0.988,9,-5.301,1,0.11,0.00565,0.198,0.86,0.315,97.92,322171,4
636,King Gizzard & The Lizard Wizard,Big Fig Wasp,1dYHMsuRUIPXHkOZbT8HQ0,41,0.415,0.891,11,-5.442,0,0.0468,0.00102,0.739,0.875,0.512,96.283,294840,4
637,King Gizzard & The Lizard Wizard,Gamma Knife,0yxzfsmzMOCRhbHBpFjXzL,41,0.317,0.916,2,-5.321,1,0.0458,0.00129,0.554,0.391,0.533,103.989,261464,3
638,King Gizzard & The Lizard Wizard,People-Vultures,75U9yhR9YWSw2ZnWIiqaL3,40,0.291,0.935,2,-4.681,1,0.0803,5.56e-05,0.628,0.791,0.15,104.802,285960,3
639,King Gizzard & The Lizard Wizard,Mr. Beat,3KDfPuvRbJp7Q1IKmlJfj7,39,0.609,0.844,9,-6.146,1,0.0322,0.0709,0.732,0.132,0.687,127.188,296117,1
640,King Gizzard & The Lizard Wizard,Evil Death Roll,2Kiv3DbBrjDx6V7pt02ABg,38,0.273,0.974,2,-5.028,1,0.124,0.00682,0.843,0.348,0.275,99.965,434172,4
641,King Gizzard & The Lizard Wizard,Invisible Face,5BbTF3MwYn4suJ6EaprGRQ,36,0.405,0.774,9,-6.39,0,0.038,0.0585,0.956,0.17,0.508,110.807,181100,4
642,King Gizzard & The Lizard Wizard,Wah Wah,2MeacH4H9VkAy1vwai9pPL,38,0.201,0.743,4,-5.241,1,0.0458,0.0159,0.386,0.879,0.459,173.014,174306,5
643,King Gizzard & The Lizard Wizard,Road Train,0qNeb0sbmX2TFJy1liirki,36,0.595,0.923,9,-6.803,1,0.0975,0.0338,0.87,0.854,0.473,131.891,258276,4
644,King Gizzard & The Lizard Wizard,Rattlesnake,4HOnIpqP8txGle3UvfjStU,41,0.582,0.962,11,-5.924,1,0.0388,0.0309,0.841,0.346,0.814,170.555,468093,4
645,King Gizzard & The Lizard Wizard,Melting,70Rs8yFKfhKdpo2NSe7NmO,34,0.598,0.857,11,-8.355,0,0.0391,0.732,0.684,0.262,0.91,120.922,327333,4
646,King Gizzard & The Lizard Wizard,Open Water,3iqJqyuWsOTXmXwIhNcHeB,36,0.319,0.975,7,-6.066,1,0.0806,0.0393,0.886,0.391,0.263,130.931,433880,4
647,King Gizzard & The Lizard Wizard,Sleep Drifter,7lCj7wEXRJqptkSiIALQxN,36,0.449,0.837,4,-6.656,1,0.0398,0.576,0.843,0.123,0.445,157.797,284853,3
648,King Gizzard & The Lizard Wizard,Billabong Valley,2If0DcfNqES3DZMQVeREaY,37,0.312,0.828,7,-5.624,1,0.0499,0.681,0.0488,0.242,0.572,146.816,214627,4
649,King Gizzard & The Lizard Wizard,Anoxia,69xBkqwgH2JgAUzvQ2STGd,33,0.457,0.831,4,-5.208,1,0.0402,0.0322,0.0286,0.611,0.819,78.82,184107,4
650,King Gizzard & The Lizard Wizard,Doom City,593oiw0CtNIzQXbhxP8Q29,36,0.299,0.834,6,-5.73,1,0.0564,0.356,0.128,0.137,0.352,161.293,194080,1
651,King Gizzard & The Lizard Wizard,Nuclear Fusion,1pmImsdC9t35L3TkD26ax8,39,0.39,0.78,11,-6.255,1,0.0411,0.343,0.801,0.165,0.586,86.363,255453,4
652,King Gizzard & The Lizard Wizard,Flying Microtonal Banana,1c2ToOnJ05xO02P0iReM6o,30,0.415,0.667,1,-4.331,0,0.0362,0.268,0.913,0.12,0.35,90.8,154147,1
653,Foxygen,Shuggie,51XZD1FCrWyU3dDWJH4nzb,0,0.467,0.645,1,-7.614,0,0.0364,0.101,0.00524,0.144,0.71,127.947,201707,3
654,Crumb,Nina,6pMNKv4Ad6gSsoKGA4fkct,0,0.573,0.796,11,-9.687,0,0.0445,0.652,0.74,0.0874,0.596,79.85,200280,4
655,Violent Soho,Covered In Chrome,0p98N4wJ1jN9q0Yr2b76Md,39,0.564,0.753,5,-5.223,1,0.0433,0.00512,2.43e-06,0.167,0.414,152.064,212547,4
656,Pond,Holding Out For You,3QaULt6mFjXbmU1O8chake,50,0.379,0.86,11,-6.086,1,0.0439,0.000391,0.183,0.412,0.407,128.213,283395,4
657,Crumb,Cracking,4A4RgEk7hEFKwk9IUKdB8a,0,0.635,0.386,6,-11.621,1,0.0342,0.394,0.793,0.0996,0.125,121.954,111987,4
658,Post Animal,Ralphie,0ubtINXSfA7mFoza07BBap,43,0.442,0.824,5,-4.569,1,0.0486,0.0323,2.35e-06,0.224,0.389,144.249,275933,4
659,Pond,Giant Tortoise,2CgUaNGnbBYEIaKGzoLksn,45,0.297,0.7,4,-6.487,1,0.0419,0.00487,0.0957,0.222,0.259,78.235,252653,4
660,The Chats,Bus Money,3ca5krERyq0eFiruRIVxzU,0,0.471,0.635,0,-9.286,1,0.222,0.0731,0.00426,0.0989,0.648,175.28,150900,4
661,Beck,Sexx Laws,1ELY3KTgI83N1k0xXqabMe,47,0.646,0.914,4,-4.071,1,0.0448,0.015,1.32e-05,0.102,0.849,134.035,219240,4
662,Beck,Where It's At,7mQertZHtd37UQ2uJs0Uct,0,0.673,0.662,2,-7.384,1,0.0732,0.24,0.0289,0.126,0.522,96.948,329573,4
663,Beck,The New Pollution,4t5tAOTFUfb2FhHnnapWlB,0,0.677,0.803,1,-6.724,1,0.0296,0.0635,0.0763,0.328,0.853,132.08,219600,4
664,Beck,Devils Haircut,1AQg7H4Ohu6s3qzq4m1KrN,0,0.688,0.727,0,-4.876,1,0.0298,0.18,0.00043,0.0669,0.76,123.521,192813,4
